    Energy    <xanes>    
   6439.00  4.5099306E-05
   6459.00  5.8272713E-05
   6479.00  7.9724752E-05
   6499.00  1.2004279E-04
   6519.00  2.2009810E-04
   6519.50  2.2449056E-04
   6520.00  2.2904658E-04
   6520.50  2.3377536E-04
   6521.00  2.3868681E-04
   6521.50  2.4379160E-04
   6522.00  2.4910126E-04
   6522.50  2.5462825E-04
   6523.00  2.6038607E-04
   6523.50  2.6638938E-04
   6524.00  2.7265411E-04
   6524.50  2.7919760E-04
   6525.00  2.8603878E-04
   6525.50  2.9319837E-04
   6526.00  3.0069905E-04
   6526.50  3.0856576E-04
   6527.00  3.1682598E-04
   6527.50  3.2551002E-04
   6528.00  3.3465148E-04
   6528.50  3.4428767E-04
   6529.00  3.5446017E-04
   6529.50  3.6521548E-04
   6530.00  3.7660579E-04
   6530.50  3.8868993E-04
   6531.00  4.0153448E-04
   6531.50  4.1521517E-04
   6532.00  4.2981857E-04
   6532.50  4.4544425E-04
   6533.00  4.6220745E-04
   6533.50  4.8024247E-04
   6534.00  4.9970713E-04
   6534.50  5.2078857E-04
   6535.00  5.4371104E-04
   6535.50  5.6874650E-04
   6536.00  5.9622951E-04
   6536.50  6.2657867E-04
   6537.00  6.6032851E-04
   6537.50  6.9817897E-04
   6538.00  7.4107585E-04
   6538.50  7.9034961E-04
   6539.00  8.4797264E-04
   6539.50  9.1708097E-04
   6540.00  1.0031576E-03
   6540.50  1.1171199E-03
   6541.00  1.2847780E-03
   6541.50  1.5775590E-03
   6542.00  2.1047716E-03
   6542.50  2.5478471E-03
   6543.00  2.9066105E-03
   6543.50  3.4032219E-03
   6544.00  4.0046898E-03
   6544.50  4.7537677E-03
   6545.00  5.6578446E-03
   6545.50  6.7582163E-03
   6546.00  8.1879926E-03
   6546.50  1.0052070E-02
   6547.00  1.2338676E-02
   6547.50  1.4855877E-02
   6548.00  1.7477955E-02
   6548.50  2.0352002E-02
   6549.00  2.3423273E-02
   6549.50  2.6052132E-02
   6550.00  2.7719669E-02
   6550.50  2.8563820E-02
   6551.00  2.8967348E-02
   6551.50  2.9190316E-02
   6552.00  2.9427910E-02
   6552.50  2.9911707E-02
   6553.00  3.0806151E-02
   6553.50  3.2138268E-02
   6554.00  3.3875535E-02
   6554.50  3.5982302E-02
   6555.00  3.8369893E-02
   6555.50  4.0856696E-02
   6556.00  4.3226010E-02
   6556.50  4.5316182E-02
   6557.00  4.7042968E-02
   6557.50  4.8358085E-02
   6558.00  4.9216053E-02
   6558.50  4.9580288E-02
   6559.00  4.9446521E-02
   6559.50  4.8856648E-02
   6560.00  4.7894054E-02
   6560.50  4.6665525E-02
   6561.00  4.5280541E-02
   6561.50  4.3836609E-02
   6562.00  4.2412740E-02
   6562.50  4.1068517E-02
   6563.00  3.9845625E-02
   6563.50  3.8770200E-02
   6564.00  3.7855439E-02
   6564.50  3.7104264E-02
   6565.00  3.6511892E-02
   6565.50  3.6068138E-02
   6566.00  3.5759389E-02
   6566.50  3.5570134E-02
   6567.00  3.5484035E-02
   6567.50  3.5484508E-02
   6568.00  3.5554949E-02
   6568.50  3.5678717E-02
   6569.00  3.5839075E-02
   6569.50  3.6019202E-02
   6570.00  3.6202383E-02
   6570.50  3.6372386E-02
   6571.00  3.6514008E-02
   6571.50  3.6613711E-02
   6572.00  3.6660256E-02
   6572.50  3.6645245E-02
   6573.00  3.6563480E-02
   6573.50  3.6413130E-02
   6574.00  3.6195673E-02
   6574.50  3.5915646E-02
   6575.00  3.5580210E-02
   6575.50  3.5198550E-02
   6576.00  3.4781141E-02
   6576.50  3.4338947E-02
   6577.00  3.3882620E-02
   6577.50  3.3421826E-02
   6578.00  3.2964747E-02
   6578.50  3.2517821E-02
   6579.00  3.2085717E-02
   6579.50  3.1671506E-02
   6580.00  3.1276975E-02
   6580.50  3.0902997E-02
   6581.00  3.0549912E-02
   6581.50  3.0217844E-02
   6582.00  2.9906936E-02
   6582.50  2.9617478E-02
   6583.00  2.9349949E-02
   6583.50  2.9104976E-02
   6584.00  2.8883259E-02
   6584.50  2.8685466E-02
   6585.00  2.8512141E-02
   6585.50  2.8363623E-02
   6586.00  2.8240005E-02
   6586.50  2.8141114E-02
   6587.00  2.8066520E-02
   6587.50  2.8015567E-02
   6588.00  2.7987409E-02
   6588.50  2.7981053E-02
   6589.00  2.7995402E-02
   6589.50  2.8029289E-02
   6590.00  2.8081507E-02
   6590.50  2.8150838E-02
   6591.00  2.8236067E-02
   6591.50  2.8336002E-02
   6592.00  2.8449482E-02
   6592.50  2.8575385E-02
   6593.00  2.8712632E-02
   6593.50  2.8860186E-02
   6594.00  2.9017054E-02
   6594.50  2.9182287E-02
   6595.00  2.9354980E-02
   6595.50  2.9534279E-02
