  6539.000   25  1  1  1.7405373E-01 -6.5747573E+00  0.0000000E+00  1  1  6.4046518E+03  0.0000000E+00  0.0000000E+00  9.2457495E+00  1.0000000E+00  0.0000000E+00  = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninit, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_iso
    Energy    <xanes>    
   6439.00  1.1731748E-05
   6459.00  3.2177715E-05
   6479.00  4.2299468E-04
   6499.00  1.4516366E-04
   6519.00  4.4175033E-03
   6519.50  3.8937467E-03
   6520.00  1.6930210E-03
   6520.50  2.3991924E-03
   6521.00  1.4200362E-02
   6521.50  8.7514795E-05
   6522.00  6.0845976E-05
   6522.50  3.8555158E-05
   6523.00  3.4652255E-05
   6523.50  3.1261483E-05
   6524.00  2.9802292E-05
   6524.50  2.8968809E-05
   6525.00  2.8517183E-05
   6525.50  2.8373842E-05
   6526.00  2.8565450E-05
   6526.50  3.0608009E-05
   6527.00  2.9676463E-05
   6527.50  3.0816583E-05
   6528.00  3.2556112E-05
   6528.50  3.5151900E-05
   6529.00  3.9115049E-05
   6529.50  4.5564652E-05
   6530.00  5.7516557E-05
   6530.50  7.9780650E-05
   6531.00  1.5084008E-04
   6531.50  6.4937470E-03
   6532.00  1.2229487E-02
   6532.50  9.4443508E-03
   6533.00  3.5015688E-02
   6533.50  1.4551670E-02
   6534.00  1.5207013E-02
   6534.50  1.0163443E-02
   6535.00  7.2915397E-03
   6535.50  1.6921996E-02
   6536.00  8.8961593E-03
   6536.50  3.7253800E-03
   6537.00  2.0543413E-03
   6537.50  8.6089097E-04
   6538.00  1.2245057E-03
   6538.50  3.1788783E-03
   6539.00  5.0207718E-03
   6539.50  5.3355691E-03
   6540.00  4.4680825E-03
   6540.50  1.4099729E-02
   6541.00  2.2852376E-03
   6541.50  2.3926899E-03
   6542.00  2.7430783E-03
   6542.50  1.3685988E-03
   6543.00  1.3264740E-03
   6543.50  1.9848291E-03
   6544.00  2.2553332E-03
   6544.50  2.9576288E-03
   6545.00  3.7315446E-03
   6545.50  4.3740534E-03
   6546.00  5.5327995E-03
   6546.50  7.3365638E-03
   6547.00  1.0388301E-02
   6547.50  1.3928374E-02
   6548.00  1.6281791E-02
   6548.50  1.8781217E-02
   6549.00  2.5266951E-02
   6549.50  3.1915923E-02
   6550.00  3.3152063E-02
   6550.50  3.2080284E-02
   6551.00  3.1258026E-02
   6551.50  3.0838538E-02
   6552.00  2.8994512E-02
